comment_user,comment,comment_date,likes_number,replies_number
fab███vf,👏👏👏,2024-11-13T20:01:57.000Z,1,1
des███opi███,😍😍😍,2024-11-13T17:11:39.000Z,1,1
mar███osb███,"My dear @Euwanderson7 who was our delegate representing our state and the Sabito Valley, Novo East of Piauí.",2024-11-13T23:00:46.000Z,1,1
tic███cau███,"With Professor Matheus Carvalho, really sensational 👏👏👏👏",2024-11-14T00:16:19.000Z,3,1
bru███nca███cao███,"@Rafael.Fonteles every year is that. The only municipality in South America, which runs out of water when the water arrives. The citizens can no longer stand. When will you solve this? Delegates someone to solve this problem, my buddy. There is no such thing as a budget, 6 days without water. You don't solve because they don't want to.",2024-11-14T17:33:11.000Z,1,1
flo███ser███tur██████,👏❤️,2024-11-13T21:58:18.000Z,2,1
joa███nge███eju██████,👏👏👏,2024-11-13T21:01:24.000Z,2,1
rod███ues███mun█████████,"Sheep, buffalo, cattle, horses",2024-11-08T17:40:04.000Z,1,1
juv███iol███58,Is registration free or pays fee?,2024-11-14T21:40:56.000Z,1,2
dra███sic███eve███,Proud of this genius architect that is ahead of this construction project! @marinabsant,2024-11-12T01:20:16.000Z,1,1
kar███aan███de,"It was very beautiful, and the inauguration was exciting! 👏👏👏",2024-11-08T00:03:03.000Z,3,1
edn███ma_███a,It was enriching 👏🏻👏🏻👏🏻,2024-11-05T21:05:51.000Z,2,1
val███ecl███nti███,👍👍👏👏,2024-11-03T09:02:47.000Z,1,1
mar███i.o███,"Pure Liar Propaganda, there is a doctor being blocked because asks for exams for the patient, there is 45 days the blocked doctor and the insured without care, one of the worst management.",2024-10-30T16:07:16.000Z,1,1
reg███_ma███a_b███,Where can I take a cultural free pass and what documents because we call and nobody meets,2024-10-30T20:42:54.000Z,1,4
eli███ago███,😍👏👏,2024-11-13T22:50:47.000Z,2,1
apr███rdo███ui,We want some copies to distribute in our store 😍,2024-10-26T13:46:39.000Z,1,1
ann███lyc███alh███,👏👏👏,2024-11-13T13:12:02.000Z,1,1
glo███haa███,👏👏👏👏👏,2024-11-13T20:54:53.000Z,2,1
mat███us_███ian███,Very happy to be part of this team ❤️🤗,2024-11-07T23:44:05.000Z,1,1
mic███ezo███,When will it be next? Accurate,2024-11-07T21:52:51.000Z,1,1
van███sa_███eve███,❤️❤️❤️,2024-11-07T11:47:24.000Z,1,1
lin███esl███din███,"I loved everything I've seen in Teresina and in the cities visited (São Raimundo Nonato, Amarante, and Serra and Capivara Opera) and the Sanfonas Procession !!!",2024-11-06T17:23:31.000Z,2,1
eli███n_b███,👏👏👏,2024-11-05T19:35:23.000Z,2,1
chu███sca███tab██████,👏👏👏👏👏,2024-11-03T11:09:35.000Z,1,1
ros███_al███ar,👏👏👏,2024-11-02T20:09:03.000Z,1,1
soc███o_x███s,Beautiful and necessary,2024-10-30T15:04:20.000Z,3,1
i9n███ing███,"We recommend, our team has taken this course and answered many questions. After the course has a mentoring of excellence.",2024-10-30T21:16:11.000Z,1,1
syn███.an███ssa███,One question ... I asked the passes through the GOV.pi citizen application ... Where do I see if it was approved or not?,2024-10-30T13:24:38.000Z,1,2
cei███ha_███hec███,Who is in need of physical and mental health and the consumers of Agespisa in Pedro II the situation here is serious is very lack of respect what the agespisa de Pedroi is doing with agent.,2024-10-29T22:08:31.000Z,9,2
sim███per███a.p███,👏👏👏👏👏,2024-10-29T14:19:21.000Z,3,4
mli███asm███,It was amazing! Congratulations to the coordination of the event and all the other participants. 👏🏽👏🏽🤍,2024-10-25T13:28:04.000Z,1,2
fer███da_███tou███,During Expo Abav I was pleased to meet Piauí in its stand and was presented with a beautiful brushing and a recipe book that made me delighted.👏👏👏👏👏👏👏👏👏👏👏,2024-10-26T05:58:07.000Z,2,2
kar███mh2███,I have never peed in a race car too,2024-11-04T14:01:53.000Z,4,1
ftb███ui,👏👏👏,2024-11-13T17:10:36.000Z,1,1
lay███mat███,👏🏾👏🏾👏🏾👏🏾❤️,2024-11-09T19:30:10.000Z,2,1
_ce███ios███a,"Buubalinos, cattle, goats, pigs, horses",2024-11-08T18:22:16.000Z,1,3
vil███cam███,👏👏👏👏,2024-11-07T23:10:19.000Z,2,1
luz███tel███bar██████,My gratitude to this wonderful class,2024-11-05T21:02:38.000Z,2,3
thi███san███lv,👏👏👏,2024-11-05T17:15:22.000Z,2,1
ari███go_███nda███,"Dear Talita,

I am very happy with your gold medal and the others you have won. 

The day I found you training at Potycabana, I thought, ""She has chances of gold!"" So you are prepared to be the Wushu representative in Piauí. Together, let's build the image and structure Wushu in our region.",2024-11-05T22:19:16.000Z,2,2
fra███mar███12,"Very proud to be part of this project as coordinator for our secretary Mauro Eduardo, for so much commitment and dedication to PCDs.🙌👏👏👏👏👏 le.",2024-11-05T17:57:05.000Z,1,1
use███alh███,"I want, but I am not part of cooperative. How do i",2024-11-01T14:47:07.000Z,1,2
raf███lei███,Top👏 Project,2024-10-29T20:30:40.000Z,3,1
qua███ave███ras███,"Very interesting and important subjects were addressed today, super productive meeting",2024-10-30T23:33:48.000Z,1,1
ann███eli███,Meanwhile the consumer's physical and mental health is getting worse that no one deserves to pay for a service that is not being provided. Now the talons with absurd values ​​is not lacking ... here in Uruçui the employees with that bad attentive that only Jesus in the cause.,2024-10-29T14:44:51.000Z,1,1
g_f███ran███,The best of the entire coastal 👏🏻📸☀️🌴🌊🌅✨ @raianelobao,2024-10-27T18:15:39.000Z,2,1
edi███ene███b,Our state is wonderful and our warmth is amazing ... and it is well represented.,2024-10-26T13:02:10.000Z,1,1
htx███dyj███ls,Do you sign up at the show if you want to be apart of?,2024-11-01T18:29:38.000Z,1,1
ath███aki███,You guys forgot the apron in the women section and the axe for the men,2024-11-16T14:06:28.000Z,3,1
eli███lus███a7,Need to write?,2024-11-14T16:32:43.000Z,1,1
fel███ear███opr█████████,👏👏👏👏👏,2024-11-14T00:30:07.000Z,1,1
eli███eal███,Congratulations!!,2024-11-13T22:47:37.000Z,1,1
rod███ues███mun█████████,"CPF, identity, telephone, electricity bill, car, total animals",2024-11-13T19:12:56.000Z,1,2
rob███kel███,Professor Matheus Carvalho Reference in Administrative Law. 👏👏👏👏,2024-11-14T08:49:59.000Z,1,1
aur███iei███2_,"How to get the health truck, for our city too? 😍",2024-11-14T20:32:04.000Z,1,3
thi███san███lv,👏👏👏,2024-11-09T19:20:03.000Z,1,1
hel███nio███,👏👏👏👏 The best teacher !!!,2024-11-09T02:48:40.000Z,2,1
thi███san███lv,👏👏👏👏,2024-11-07T23:08:39.000Z,2,1
rob███o.a███is4███,Dona Góes Historical Heritage of Emater/Sada👏👏👏👏,2024-11-07T01:59:44.000Z,1,1
feh███,❤👏👏,2024-11-05T20:48:18.000Z,1,1
bar███ras███_pi█████████raf██████,It was missing that here in Barreiras do Piauí has ​​the best waterfalls in the springs of the Parnaíba River. 🔥❤️,2024-11-07T11:22:00.000Z,1,1
eli███ago███,😍😍😍,2024-11-06T18:26:16.000Z,1,1
van███avv███tin███,Excellent!,2024-11-05T18:52:19.000Z,2,1
anj███myr███,"Excellent post! Very important @culture.pi, loved 😍",2024-11-05T01:04:25.000Z,2,1
fel███ear███opr█████████,👏👏👏👏,2024-11-02T16:57:54.000Z,1,1
ros███ara███soa██████,"And I, as a social worker, had the joy of sending dozens of free passes to my clients rehab.❤️",2024-11-05T17:33:16.000Z,1,1
luz███lva███,Hungry Spirit Kkkkk,2024-10-31T18:56:14.000Z,1,1
nay███vei███nf,Good afternoon..My daughter is 2 years old and not RG .. Do you take it there? She has PC report and hodrocephalia,2024-11-04T17:33:19.000Z,1,1
viv███uot███pia███,"The OPA is revolution, both in such a short time and in the hands of the communities, congratulations to all involved.",2024-10-29T20:47:30.000Z,1,1
sto███tri███,How do we sign up if we're interested in performing?,2024-10-27T08:50:48.000Z,2,1
nra███,You could support me with prices please,2024-11-26T23:49:17.000Z,1,1
