comment_text,commenter_user_name,comment_id,date_created,num_likes,num_replies,comment
What is the dividend yield on this fund ?,fin███ Ai███n,7381564492096340768,"""2024-06-17T20:00:29.000Z""",1,1,What is the dividend yield on this fund ?
Too much stress with stocks bro,kap███ate███19,7412215320918655777,"""2024-09-08T10:21:17.000Z""",2,2,Too much stress with stocks bro
"wouldn't really call it a crash , maybe use the term ""falling "" crash would be like double digit % decline within 48 hours , unless you just using buzz words for algorithms",Narz,7412192541975790369,"""2024-09-08T08:52:47.000Z""",0,2,"wouldn't really call it a crash , maybe use the term ""falling "" crash would be like double digit % decline within 48 hours , unless you just using buzz words for algorithms"
Delivery hero.. wish I’d put kkkk in that 🤣,tra███e13███,7438652110797849376,"""2024-11-18T16:09:45.000Z""",1,1,Delivery hero.. wish I’d put kkkk in that 🤣
"I made $82,000 in 7 days investing in trading @PAULWHEELERFX start your investment to make a change",kar███,7400426764684264198,"""2024-08-07T15:55:35.000Z""",0,0,"I made $82,000 in 7 days investing in trading @PAULWHEELERFX start your investment to make a change"
Why not vanguard?,Hxa███sx,7427610123872355104,"""2024-10-19T22:00:55.000Z""",1,2,Why not vanguard?
investing is longterm. Why do you look at your portfolio daily?,Fol███_To███spi███,7413077073521263393,"""2024-09-10T18:05:15.000Z""",2,7,investing is longterm. Why do you look at your portfolio daily?
do you not end up losing money from the fees?,Use███588███758███,7431675161705333537,"""2024-10-30T20:55:20.000Z""",0,3,do you not end up losing money from the fees?
"My goal is to make good profits every 24 hours, that's why I continue to trade with. @ @THOMAS TRADES LLC",Fre███ck ███���,7396195032590205701,"""2024-07-27T06:14:40.000Z""",1,0,"My goal is to make good profits every 24 hours, that's why I continue to trade with. @ @THOMAS TRADES LLC"
"@OFFICIAL MOVINGCYBER ACCOUNT Es muy perfecto
Es el mejor hasta la fecha,....",rhi███yri███,7398017589446214406,"""2024-08-01T04:06:48.000Z""",1,0,"@Official MovingCyber ​​Account is very perfect
It is the best to date, ..."
Why trading 212 and not Vanguard ?,Z,7376714167702946592,"""2024-06-04T18:18:45.000Z""",0,1,Why trading 212 and not Vanguard ?
"My $300 turned into $11,500, Interested in crypto trading, but don't know how to trade, and you need trading guidance contact @Melissa Mariana",Tho███pat███,7420986354672812806,"""2024-10-02T01:37:21.000Z""",0,0,"My $300 turned into $11,500, Interested in crypto trading, but don't know how to trade, and you need trading guidance contact @Melissa Mariana"
"My $300 turned into $11,500, Interested in crypto trading, but don't know how to trade, and you need trading guidance contact @Melissa Mariana",Tho███pat███,7420986396708848389,"""2024-10-02T01:37:32.000Z""",0,0,"My $300 turned into $11,500, Interested in crypto trading, but don't know how to trade, and you need trading guidance contact @Melissa Mariana"
this ETF is Super Rubbish,Tom███Per███al █████████,7443149641766847264,"""2024-11-30T19:02:44.000Z""",2,1,this ETF is Super Rubbish
Theres no point looking at it everyday,Har███rh_███,7429748848182313760,"""2024-10-25T16:20:13.000Z""",3,2,Theres no point looking at it everyday
How much was your dist payment?,Will,7398149709981057825,"""2024-08-01T12:39:23.000Z""",1,3,How much was your dist payment?
Wow! Amazing 😂😂,joe███oco███,7397896053330838304,"""2024-07-31T20:15:05.000Z""",0,0,Wow! Amazing 😂😂
Now I confirmed what people says about @PAULWHEELERFX when it comes to making good profit for clients in trading. I’m so grateful.,wil███120███,7397872961254556422,"""2024-07-31T18:45:32.000Z""",0,0,Now I confirmed what people says about @PAULWHEELERFX when it comes to making good profit for clients in trading. I’m so grateful.
🥰🥰🥰,Hus███n N███915███,7438219401679635232,"""2024-11-17T12:10:20.000Z""",1,1,🥰🥰🥰
😁😁😁🥰🥰🥰🥺,vjw███xa2███,7437909304827249441,"""2024-11-16T16:07:02.000Z""",1,1,😁😁😁🥰🥰🥰🥺
😁,Sme███ath███y,7437334204302017312,"""2024-11-15T02:56:06.000Z""",1,1,😁
😁,Wen███Dia███,7438195980015338272,"""2024-11-17T10:39:30.000Z""",0,0,😁
😁,Sha███set███oa,7437576752333996833,"""2024-11-15T18:36:36.000Z""",0,0,😁
ดีมอลดีสุด,San███uk,7333895796746978050,"""2024-02-10T09:01:47.000Z""",260,11,The best
ไมโลค่ะเวลากินโอวัลตินแล้วปวดขี้ตลอดเลย,ประ███แดก███ากไ█████████,7333894679773365000,"""2024-02-10T08:57:07.000Z""",18,0,Milo. When eating Ovaltine and always pain
ไม่เป็นไรกินทั้งคู่,วัย███นบิ███ยน์█████████,7333923852915639047,"""2024-02-10T10:50:22.000Z""",1,0,It's okay to eat both.
👁👄👁,ใบเ███���,7333930708006683400,"""2024-02-10T11:16:59.000Z""",0,0,👁👄👁
ชอบไมโลคับแต่ติดตรงหลอดกระดาษ,.,7336869234800591623,"""2024-02-18T09:19:55.000Z""",0,0,Like Milo but attached to the paper tube
ชออบไมโล เพราะแจกเด็กๆ กินฟรีตาม รร ตอนผมเด็ก,bjb███234███,7333972003675783943,"""2024-02-10T14:14:15.000Z""",0,0,Chop Milo because the children give away for free when I was young.
ผมชอบไมโลโอวัลตินมันหวานๆ,เจย███เจ?███,7334009671960953606,"""2024-02-10T16:23:24.000Z""",0,0,I like Milo Ovaltine. It's sweet.
