id,user_posted,description_translated,date_posted,likes,replies,reposts,views
1868428607451799983,Glo███ews███,"With the end of the Assad dictatorship, many Syrians consider coming home. 12 million have fled since the beginning of the civil war 13 years ago. European countries are reviewing refuge policies to Syrians.

➡ Watch #globonews:","""2024-12-15T22:51:08.000Z""",33,2,1,8369
1868159094567121215,bil███ard███,Brian Austin Green Tells MGK to ‘Grow Up’ After Musician’s Split From Megan Fox: ‘She’s Pregnant’,"""2024-12-15T05:00:11.000Z""",43,7,3,25007
1868451534708883739,TNT███rts███,"PSG beats in the classic! 💪🇫🇷 Our @claalbuquerque brings the details of another triumph of the capital team, this time against Lyon, for #Ligue1 and highlights the performance of a young promise of the team led by Luis Enrique!","""2024-12-16T00:22:14.000Z""",33,2,1,15497
1868441382022717466,TNT███rts███,"Idol and now President! 🇦🇷🇦🇷 Former striker Diego Milito was confirmed as new president of Racing!

🗞️ @tntsportsar","""2024-12-15T23:41:54.000Z""",230,6,5,18267
1868418260892565925,Glo███ews███,".@Danielalima_: Lula surgery had negotiated ministerial reform, which was early 2025.

➡ Watch #globonews:","""2024-12-15T22:10:01.000Z""",84,50,4,9569
1868380932962418758,Glo███ews███,"Today began the second phase of Fuvest, the entrance exam that defines the approved students to study at USP.

➡ Watch #globonews:","""2024-12-15T19:41:41.000Z""",27,1,1,8158
1868386052634784163,bil███ard███,Taylor Swift’s ‘The Tortured Poets Department’ Logs 17th Week at No. 1 on Billboard 200,"""2024-12-15T20:02:02.000Z""",524,9,64,63114
1868362011253301608,Glo███ews███,"Actresses Fernanda Torres and Fernanda Montenegro are featured in a story from the New York Times. The newspaper talks about Oscar's chance of ""I'm Still Here"", the first original movie of Globoplay.

➡ Watch #globonews:","""2024-12-15T18:26:30.000Z""",208,23,28,11057
1868453532929552384,bil███ard███,Blink-182’s Tom DeLonge Shares His Theory on New Jersey Drone Sightings,"""2024-12-16T00:30:11.000Z""",19,4,5,12635
1868430929389105388,bil███ard███,Taylor Swift’s Birthday Gift to Fans: A Quiet Release of These Behind-the-Scenes Videos,"""2024-12-15T23:00:21.000Z""",51,3,7,14229
1868083722471235914,bil███ard███,"SEVENTEEN Talk BBMAs Performance, DJ Khaled Collab &amp; More | Billboard Music Awards 2024","""2024-12-15T00:00:41.000Z""",1945,6,721,32803
1868121373425516847,bil███ard███,"SEVENTEEN on How They Feel About Being on the Billboard Charts, How Much CARATs Mean to Them | Billboard Music Awards 2024","""2024-12-15T02:30:18.000Z""",2162,5,848,36042
1868407672376058098,Glo███ews███,"""This path that arrived at Braga Netto now was the issue of money,"" says Eliane Cantanhêde.

➡ Watch #globonews:","""2024-12-15T21:27:57.000Z""",247,43,47,13987
1868383589420707992,Glo███ews███,"The Ministry of Defense has announced that women who are 18 years old in 2025 could make voluntary military enlistment. In all, there will be 1,500 vacancies between Army, Navy and Aeronautics.

➡ Watch #globonews:","""2024-12-15T19:52:15.000Z""",111,18,17,11871
1868352193499197494,Glo███ews███,"Lula was discharged this Sunday (15). The president has been hospitalized since Monday (9) in São Paulo, where he underwent surgery to drain a bruise on his head - still due to the fall he suffered at home in October.

➡ Watch #globonews:","""2024-12-15T17:47:29.000Z""",263,64,21,12074
1868113795878461891,bil███ard███,Stray Kids Accepts the Top Global K-Pop Artist | Billboard Music Awards 2024,"""2024-12-15T02:00:11.000Z""",4997,12,1219,53724
1868463142856180087,TNT███rts███,"Do we have a title fight in Spain? 👀🇪🇸 With Barcelona's defeat to Leganés, the blaugranas lost their fat at the top of the table and now real and athletic touched! Our @marcelobechler analyzed the result and moment of Barça! 🔵🔴 #Lailing","""2024-12-16T01:08:22.000Z""",40,2,2,15594
1868421338333077960,TNT███rts███,"It was an honor, emperor! 👏👏👏
Today Adriano Emperor said goodbye to the lawns in a commemorative game in Maracanã! What a career foddling@, with four clubs in Brazil and highlighted in Internazionale and #Brasileira Selection!","""2024-12-15T22:22:15.000Z""",2737,21,189,48418
1868429967177957452,Glo███ews███,"Millions of Syrians have left the country due to war and now they no longer know whether they will be able to stay in Europe - where countries are reviewing refuge policies - or if they can be safely returning to Syria.

➡ Watch #globonews:","""2024-12-15T22:56:32.000Z""",21,1,1,8306
1868401245876085034,Glo███ews███,"#SpecialDeDomingo is in the air.

➡ Watch #globonews:","""2024-12-15T21:02:24.000Z""",32,8,2,8239
1868468740171673945,TNT███rts███,"Lots of difference between the champions! 😱💰 

While Botafogo received a prize of about $ 48 million for the title of Brasileirão Betano, Vélez was Argentine champion and took $ 500,000, about $ 3 million in the current conversion. #Brasileirãobetano","""2024-12-16T01:30:36.000Z""",931,27,25,30000
1868453542400254164,TNT███rts███,"Boca Juniors will be at Libertadores 2025! 🔵🟡
After being out of #Libertadores2024, Boca got the classification for the 2025 edition after the Vélez title in the Argentine Championship.","""2024-12-16T00:30:13.000Z""",341,10,11,22090
1868445939360321723,TNT███rts███,"Anything goes for the first place in the group! ⚔️🏆 Real Madrid and Chelsea will duel for the lead of the key! It's a game on Tuesday, live at @streammaxbr (","""2024-12-16T00:00:00.000Z""",33,2,1,14818
1868418200008012245,Glo███ews███,".@Miriamleitao comments on the fact that President Lula did not follow the protocol to transfer the role to his deputy, Geraldo Alckmin, during hospitalization.

➡ Watch #globonews:","""2024-12-15T22:09:47.000Z""",107,95,8,13597
1868415158818603228,Glo███ews███,"""Despite having a lot of CPF in the wave of the coup, there are also CPFs that go into history resisting this blow,"" says Eliane Cantanhêde, about the involvement of military personnel in a coup plot.

➡ Watch #globonews:","""2024-12-15T21:57:41.000Z""",117,51,14,14127
1868414145973940591,Glo███ews███,"@miriamleitao: ""What is seeing now, never seen before: the army say that it is collaborating with investigations. Before, the Armed Forces protected their. This time, the idea is that the institution must be preserved.""

➡ Watch: https://t.co/MGNXYOXNMY #SpecialDedomingo #GloBonews","""2024-12-15T21:53:40.000Z""",922,136,142,26775
1868406779086074332,Glo███ews███,".@Miriamleitao talks about elements that culminated in the arrest of Braga Netto, and says that the PF now analyzes cell phones and dozens of binds seized on Saturday (14). ""Investigations continue, because more information is coming.""

➡ Watch #globonews: https://t.co/MGNXYOXVCW #SpecialDeDomingo","""2024-12-15T21:24:24.000Z""",572,148,105,22414
1868151532622955003,bil███ard███,"Friday Music Guide: New Music From Stray Kids, Bossman Dlow, Snoop Dogg &amp; More","""2024-12-15T04:30:08.000Z""",1977,9,463,35672
1868401609354670201,TNT███rts███,"Spurs show! 🐓🔥 Tottenham kneaded the southampton, away from home, for #premierleague! Another great performance of Maddison! 👏","""2024-12-15T21:03:51.000Z""",105,4,5,15796
1868396632397545516,The███nom███,"“It’s hard to be moral in three seconds.”  

On “The Weekend Intelligence”, @studersc asks Pastor Julian Lowe and philosopher @agnescallard: what happens when morality comes at a price?","""2024-12-15T20:44:04.000Z""",10,5,3,53994
1868295017485189120,The███nom███,The unbelievable has become commonplace in recent years. What could happen in 2025? Here are a few scenarios to get you thinking:,"""2024-12-15T14:00:18.000Z""",19,4,5,52230
1868256046847820114,The███nom███,"Much like voters in the rest of the world, Germans are fed up with their government. Three charts help explain the situation in Europe’s largest economy","""2024-12-15T11:25:26.000Z""",32,6,13,51286
1868247253984420075,The███nom███,"Adults have grown less literate over the past decade, new data suggest. One researcher speculates that many are getting much less practice than they used to at reading long and complex texts. 

Blame TikTok, perhaps","""2024-12-15T10:50:30.000Z""",229,31,109,61827
1868216199751889180,The███nom███,"Cryptocurrencies are being increasingly institutionalised. 

In turn the asset class will become more ordinary, and more linked to the ups and downs of the regular financial world, which advocates had hoped to replace","""2024-12-15T08:47:06.000Z""",45,12,10,47177
1868189305014813099,The███nom███,Europe knows its armies need more cash. But clever tricks will be needed to fund defence expenditure without crossing the various red lines of different countries,"""2024-12-15T07:00:14.000Z""",59,13,17,49641
1868133824644645296,The███nom███,"Donald Trump’s picks for the Federal Trade Commission and Department of Justice will mostly make corporate deals easier. 

Objections to a merger because of its effect on union workers, for example, are less likely to be raised under the new regime","""2024-12-15T03:19:46.000Z""",41,18,16,64541
1868088216164671670,The███nom███,These are the world’s most expensive cities,"""2024-12-15T00:18:32.000Z""",33,12,12,64864
1868434613682737214,Met███ole███,"➡️ UNB dean suspends youtuber Wilker Leo of classes for 60 days

Youtuber Wilker Leão is accused of recording and disseminating debates from the academic environment without permission, causing offenses on social networks

Read in the column of @lilian_tahan and @tr_isadora:","""2024-12-15T23:15:00.000Z""",114,62,12,11681
1868393090936885567,Met███ole███,"➡️ Fearing protests, military cut spends R $ 75 thousand on weapons

With military judgments involved in undemocratic acts on the horizon, STM opened bidding to buy rifles and ammunition

Read in the column @igorgadelham:","""2024-12-15T20:30:00.000Z""",20,20,4,5118
1868392613260538144,Met███ole███,"⏯️Paulo Vieira mocking the arrest of Braga Netto live at Globo

During the presentation of the best of the year, Domingão, the humorist made a joke with the arrest of the general

Read in the column of @oliveirafabia_:","""2024-12-15T20:28:06.000Z""",1388,222,159,49353
1865957435204108730,NHL,Another dub for the @utahhockeyclub! ✅,"""2024-12-09T03:11:35.000Z""",907,22,64,97855
1868332945162842288,Rep███los███,"🚨 FOX NEWS EXCLUSIVE —&gt; Rep. Gimenez warns China is 'greatest threat' to US, Trump admin will 'project strength' to CCP","""2024-12-15T16:31:00.000Z""",145,71,52,9695
1866001453992530185,NBA,"@Bucks @hornets @MiamiHEAT @nuggets @OrlandoMagic @spurs @memgrizz @warriors @SacramentoKings @HoustonRockets Anthony Davis dominates the paint as the @Lakers win in LA!

D'Angelo Russell: 28 PTS, 14 AST
Rui Hachimura: 23 PTS (9-13 FGM), 4 STL","""2024-12-09T06:06:29.000Z""",473,17,69,130773
1868389391317799412,acm███n,"A masterpiece 🏟️🫶

#MilanGenoa #ACMilanWorthEveryMinute #SempreMilan","""2024-12-15T20:15:18.000Z""",1997,37,311,75282
1868374036247634224,acm███n,"And here they are! 👋

#MilanGenoa #SempreMilan 
Brought to you by @OffWht","""2024-12-15T19:14:17.000Z""",405,4,28,25339
1868247691215728739,SLB███ica███,"#SLBenficaFem | 1️⃣1️⃣ 𝗜𝗡𝗜𝗖𝗜𝗔𝗟!

#LojasEspacoCasa #Europcar #Glassdrive #Auditiv @adidasfootball","""2024-12-15T10:52:14.000Z""",71,2,6,4347
1868359970929958933,SLB███ica███,"⚽ 17' GOOOLOOOOOOO!!!! AMDOUNI!!!!!

#AVSSLB • 0-1 • #LigaPortugalBetclic","""2024-12-15T18:18:24.000Z""",2169,32,203,70255
1868341530202984778,slb███ica███,"🚨 TEAM NEWS! 🚨

#AVSSLB • #LigaPortugalBetclic","""2024-12-15T17:05:07.000Z""",125,4,2,5099
