user_id,comment_text,date_created,num_likes,num_replies,source
100060392475788,"Wow, congratulations on reaching such an incredible milestone! 🎉 Fifty years of dedication to North Texas is a testament to the quality and trust you bring to the community. The celebration looks like it was a beautiful way to honor everyone who's been part of the journey—especially with that delicious BBQ from Hurtado! 🍖 Here’s to many more years of keeping Texas homes and businesses safe and sound under a Lon Smith roof","""2024-11-11T10:41:43.000Z""",0,0,facebook
nyp███,Billie Eilish gets hit in the face by a necklace while performing at Arizona concert,"""2024-12-15T15:34:40.000Z""",79,64,twitter
pfbid026KZKzgAK7LPCc4rdHeHMxXBityqcnbbLr64qiRCSD9xANTBmJBTTaA13Mf6QfVs7l,Hello husband,"""2023-04-20T14:46:04.000Z""",0,0,facebook
F1,"From breakthrough victories to jaw-dropping comebacks 💪

Lewis Hamilton's top 10 greatest moments for @MercedesAMGF1 👇

#F1","""2024-12-15T09:23:00.000Z""",1924,42,twitter
⠀⠀ ███ ⠀s███,"As a Muslim who wants to invest but interests are haram, so what best way to invest?","""2024-10-03T08:11:29.000Z""",2,2,tiktok
pfbid0WDSDFkeVYwg6X4K9Uae2xhNnugSM2BiRTd4QXZq2V382YtQnFBRRMGdDcKuiyoS3l,"Just switched my internet from AT&T, and I couldn't be happier... bad costumer service bad internet service bad bad bad all around","""2024-04-11T23:16:15.000Z""",0,1,facebook
shi███ato███n,Love❤️❤️❤️❤️,2024-11-24T16:54:37.000Z,1,1,instagram
pfbid0KaHhbEzyVkuaGqfmi5vFvNRUbrjUjigG9XbHss8M86DjBDGXkve1aoLaoMWvgfSml,So I check my bank account today to find out ATT has charged my business account that I’ve had with them for umteen years almost 3000.00!!!!!!!!   What????  So after 2.5 hours on the phone and 2 phone calls later ( the first guy left me on hold for 1.5 hours before hanging up on me ) they saw “ their” mistake and will refund my money…… in 3-5 biz days.  Meanwhile I’m out countless overdraft fees and have other bills to pay.    They get a large amount from me every month as it is for like 12 or more years.  I’m thinking I may need to make a change,"""2024-01-17T22:40:13.000Z""",0,2,facebook
pfbid0nLGr4bBJPp5rCQRGFQrWaaeZLinxXM9Cp6Uxbe8Lm3GS7u3kKKZDyNzVrpLTYNfgl,My phone is not working,"""2023-03-29T20:56:28.000Z""",0,2,facebook
pfbid0dDG3ksF1NbaCthwuZfx1tAuzycuhay6nRzvpcb9qZY8uyKnaJAwHJVTaXdrCBFb5l,Well done!!,"""2024-07-31T01:41:21.000Z""",0,0,facebook
tvg███o,Chay Face 🤏 #Myelhoresdoano #Domingão,"""2024-12-15T22:30:48.000Z""",269,5,twitter
Man███,"UNITED! UNITED! UNITED! 🗣️

🤳 @Snapdragon

#MUFC || #ShotOnSnapdragon","""2024-12-15T19:01:26.000Z""",28303,336,twitter
bea███cot███e20███,My love,2024-08-27T15:01:21.000Z,1,1,instagram
gab███ala███,Cute @shelly.shalom,2023-09-08T06:03:50.000Z,3,1,instagram
Cel███FC,"56' - GREG TAYLOR EQUALISES!!! ⚽️
 
Follow the action live on our Match Centre 📲","""2024-12-15T16:49:51.000Z""",1335,112,twitter
nyp███,‘Yellowstone’ Season 5 series finale reveals Dutton Ranch’s fate — and ends with a major death,"""2024-12-16T03:04:00.000Z""",27,9,twitter
bat███.al███hda███,❤️❤️❤️❤️❤️❤️❤️❤️❤️,2024-06-26T12:18:48.000Z,1,1,instagram
pfbid0tzLAqnXWLnV6UeMDFiuvqJYYZfYTimxLNtVTEVodADaz9XjscftwD3CW4ZBLoEizl,"Great 
Please check your DM","""2024-08-02T07:43:49.000Z""",0,0,facebook
pfbid0YBn5ciDRiUtXZ5gdWhScvEjuvxVXSGUjyuZfchrLeopcC3nCv4MKs1v2KSsvL4Vcl,Thank you Dr Preece and Dr Church Valentino love his new dinosaur pet 😊,"""2024-02-29T01:26:52.000Z""",0,0,facebook
pfbid0XSe6qtjYrDJePAttZxTrVNxuGFEQS9trPi5RNuM27MZUWas5fnij1sSCTpD8tmcCl,"Completely incompetent! I’ve spent over two months on the phone with their “representatives” and each one swears they’ve resolved the issue and made notes on the account. 
3 hours on the phone with reps just last week. “Oh, we’ve made the credits, you have a zero balance. All notes are there.” 
Wrong! Now I’m on the phone with them again. Their reps are painfully incomplete and the “call center” background noise is unbearable. Ready to cancel after 25 years.","""2023-09-19T16:56:21.000Z""",0,4,facebook
tha███fit███,😂😂😂😂,2024-08-13T10:54:39.000Z,1,3,instagram
oba███a,❤❤,2024-04-08T06:43:11.000Z,1,1,instagram
spfl,A Greg Taylor goal hauls @CelticFC back on level terms in the Premier Sports Cup Final! 💪,"""2024-12-15T16:56:00.000Z""",138,2,twitter
roe███all███,Is LinkedIn an option to share?,2023-09-13T15:31:11.000Z,2,1,instagram
Bre███,I have made some great amount of profit working from home with @Karen_Kimberly_fx.,"""2024-10-01T03:13:57.000Z""",0,0,tiktok
pfbid0MUovRaRzquQyfimaPjC1624T3EggvpAqhJfdqA5EneFdXUFfpMuhXWQEmKhTZj91l,"At&t is the worse company ever. My internet only works in half the house. I call you all, and after waiting 30 minutes the rep says ""disconnect the modem, ??"" I am like, wont that drop the call? Which of course it does, and she had promised they would call back if that happened , yeah right 😂. Now i cannot even reach their website to make a payment, which they had the nerve to raise by 5.00 of course. This is after they breeched our info and they can't even provide good internet in my house. Worst customer service ever !!!!!!! Luckily i have a choice and will switch to Spectrum, had nothing but issues with AT&T since i signed up.","""2023-03-26T20:10:49.000Z""",0,2,facebook
Eur███agu███,"That’s a whole lotta games 😳👏 

#EveryGameMatters","""2024-12-15T11:58:58.000Z""",171,6,twitter
Man███Wom███,"Finishing the calendar year with three points! ➕3️⃣

#MUWomen","""2024-12-15T15:55:34.000Z""",2369,109,twitter
bit███am_███gwo███,Despite the economy downtown. I'm so happy 😀. I have been earning$ 60.190 return from my$ 7000 investment every week with the help of. @THOMAS TRADES LLC,"""2024-07-27T05:09:24.000Z""",5,0,tiktok
waj███aum███an,@kittaba see you there 😍😍😍😍,2023-08-20T08:17:32.000Z,1,1,instagram
len███,Have an amazing day hope you’re okay and well,"""2024-11-16T16:48:30.000Z""",1,0,tiktok
bay███qou███,+1000,2021-10-21T11:04:53.000Z,1,1,instagram
ufc,"Last night @Newmansa94 grabbed his 6th win in a row🔥

Big things coming for Joaquin Buckley in 2025! #UFCTampa","""2024-12-15T19:03:00.000Z""",803,43,twitter
Max,Can you sell single stock from the pie?,"""2024-11-11T19:21:10.000Z""",1,1,tiktok
Tik███1ee███,It’s a debit card. It’s not special,"""2024-06-13T16:59:22.000Z""",0,1,tiktok
pfbid02VzmPP2CURu5qTjW67DNhCRvsFVAPjxRDUEqzvVVF2HzMLVH6Sp6kcUHGqznnJt2el,"Leonard B Clifford, Sonia L. Rangel, Verizon, Brenda Lelli, Rita Hughes Epperson, Karen Hockney-howland, Mike Foster, Adwner Jsoahi Andsenor, Don DS, Brendan Lukas, Mhyr X Noá, Lee Saballos, Parker Barhorst, Felicia Harris, Justin White, David Banks, Mark Rondyke, Brandy Wilson, Michelle Meyer, Danielle Musick, Ellie Jennifer, Teresa Harville Robbins, Brandon Gervais, Johanna Boice, Valerie Dominique Hislar, Emily Rose, Dale Denton Sr., Gavi Noeldner, Erica Cathrine
http://65c4f0b1a62b1.evalynn.xyz/eyI2NWM0ZjBiMWE2MmIxIjp7Imxpbmt1cmwiOiJodHRwOlwvXC9vY3RhdmlhcGF0cmljZS5heWxhYnVydC5saWZlXC9iVEZFWW5Bc1UwVk9SMUJGVGxSSlRrZFpRVXRKVGl3eE56QTNOREExTXpZNExDeE1UMU5RVDB4TVQxTXNTR2toSUVrbmJUb2dRMmh5YVhOMGFXRnVZU0F0SUU5dUlHeHBkbVVnYzJodmQzTWhMQSIsInRpdGxlIjoiTG9ycmFpbmU6IE9uIGZyZWUgbGl2ZSBjYW1zIiwiZGVzY3JpcHRpb24iOiIxLDE0NCw0MTcgT25saW5lIG1lbWJlcnMiLCJpbWFnZSI6Imh0dHA6XC9cLzY1YzRmMGIxYTYyYjEuZXZhbHlubi54eXpcL3YxLjFcL3N0YXRpY1wvMXM2M21tWWltbThubzZ0Y29NQW9DRjFyNjUucG5nIiwiYXBwIjoiMTI0MDI0NTc0Mjg3NDE0IiwiZSI6IjEifX0","""2024-02-08T23:15:45.000Z""",0,1,facebook
